GPS Location:,Unlocked
337608695.652174,-28.5512390136719
339130434.782609,-29.5436630249023
340652173.913044,-30.2563438415527
342173913.043478,-32.5251579284668
343695652.173913,-30.7568702697754
345217391.304348,-29.5134429931641
346739130.434783,-37.3388786315918
348260869.565217,-32.2384986877441
349782608.695652,-25.8242492675781
351304347.826087,-29.7167282104492
352826086.956522,-30.9813041687012
354347826.086957,-28.0668716430664
355869565.217391,-36.6377067565918
357391304.347826,-25.726261138916
358913043.478261,-29.8703880310059
360434782.608696,-44.1877250671387
361956521.73913,-31.1019477844238
363478260.869565,-23.5532417297363
365000000,-25.2497062683105
366521739.130435,-26.8001480102539
368043478.26087,-27.8049774169922
369565217.391304,-25.7562980651855
371086956.521739,-26.3772926330566
372608695.652174,-24.606014251709
374130434.782609,-35.3674812316895
375652173.913044,-26.1612396240234
377173913.043478,-32.0949592590332
378695652.173913,-26.5373077392578
380217391.304348,-28.717399597168
381739130.434783,-27.3617286682129
383260869.565217,-31.2800559997559
384782608.695652,-26.3747215270996
386304347.826087,-32.8428153991699
387826086.956522,-31.3152961730957
389347826.086957,-24.6299819946289
390869565.217391,-29.0594024658203
392391304.347826,-24.2975387573242
393913043.478261,-27.7149772644043
395434782.608696,-24.9291229248047
396956521.73913,-30.872501373291
398478260.869565,-20.8895072937012
400000000,-17.5589218139648
401521739.130435,-24.9269218444824
403043478.26087,-29.3657035827637
404565217.391304,-25.1403312683105
406086956.521739,-36.3981742858887
407608695.652174,-28.1812362670898
409130434.782609,-29.5043258666992
410652173.913044,-29.4580230712891
412173913.043478,-27.9032211303711
413695652.173913,-29.6035270690918
415217391.304348,-37.4084892272949
416739130.434783,-33.9471168518066
418260869.565217,-33.4849281311035
419782608.695652,-28.5238761901855
421304347.826087,-30.9603309631348
422826086.956522,-41.0252265930176
424347826.086957,-27.5255813598633
425869565.217391,-28.1544418334961
427391304.347826,-30.0077819824219
428913043.478261,-28.7024421691895
430434782.608696,-23.0932693481445
431956521.73913,-32.3685417175293
433478260.869565,-27.3453674316406
435000000,-26.9483642578125
436521739.130435,-28.2443542480469
438043478.26087,-26.3361129760742
439565217.391304,-30.2208824157715
441086956.521739,-30.5369834899902
442608695.652174,-34.7118949890137
444130434.782609,-26.9200477600098
445652173.913044,-31.0921440124512
447173913.043478,-33.5825996398926
448695652.173913,-32.7870063781738
450217391.304348,-30.0252685546875
451739130.434783,-24.1198654174805
453260869.565217,-32.2537498474121
454782608.695652,-33.8972969055176
456304347.826087,-33.0029792785645
457826086.956522,-27.7039375305176
459347826.086957,-26.3854484558105
460869565.217391,-26.1258583068848
462391304.347826,-33.3696098327637
463913043.478261,-24.7915420532227
465434782.608696,-28.3490180969238
466956521.73913,-28.3917427062988
468478260.869565,-29.3614501953125
470000000,-31.5788383483887
471521739.130435,-21.5505752563477
473043478.26087,-35.2698860168457
474565217.391304,-29.4128150939941
476086956.521739,-30.0450744628906
477608695.652174,-39.1469078063965
479130434.782609,-30.3028907775879
480652173.913044,-29.6068153381348
482173913.043478,-30.2021217346191
483695652.173913,-29.6571388244629
485217391.304348,-31.6508140563965
486739130.434783,-32.0229606628418
488260869.565217,-35.9500160217285
489782608.695652,-29.1934471130371
491304347.826087,-29.3789367675781
492826086.956522,-31.4178276062012
494347826.086957,-28.4127159118652
495869565.217391,-28.9287528991699
497391304.347826,-20.7227516174316
498913043.478261,-17.6819038391113
500434782.608696,-17.6347732543945
501956521.73913,-19.985523223877
503478260.869565,-31.5445747375488
505000000,-29.0246047973633
506521739.130435,-30.1188774108887
508043478.26087,-30.482006072998
509565217.391304,-26.7269401550293
511086956.521739,-27.1493186950684
512608695.652174,-27.5554122924805
514130434.782609,-25.1954803466797
515652173.913044,-28.2639770507813
517173913.043478,-30.5952491760254
518695652.173913,-35.8746147155762
520217391.304348,-29.2167549133301
521739130.434783,-24.8910636901855
523260869.565217,-27.2308807373047
524782608.695652,-32.5059394836426
526304347.826087,-28.8641052246094
527826086.956522,-24.0013847351074
529347826.086957,-37.2626914978027
530869565.217391,-32.9894676208496
532391304.347826,-29.6464424133301
533913043.478261,-35.2250709533691
535434782.608696,-24.9850769042969
536956521.739131,-26.4118576049805
538478260.869565,-26.3801231384277
540000000,-38.7743263244629
541521739.130435,-24.9339599609375
543043478.26087,-28.0829429626465
544565217.391304,-26.1899528503418
546086956.521739,-26.2879905700684
547608695.652174,-27.9674530029297
549130434.782609,-36.4030570983887
550652173.913044,-29.6604270935059
552173913.043478,-30.0032196044922
553695652.173913,-24.5095901489258
555217391.304348,-26.1660614013672
556739130.434783,-29.6173629760742
558260869.565217,-36.7278633117676
559782608.695652,-28.095760345459
561304347.826087,-30.0601234436035
562826086.956522,-28.217399597168
564347826.086957,-27.8182106018066
565869565.217391,-34.4568061828613
567391304.347826,-33.812671661377
568913043.478261,-35.6038932800293
570434782.608696,-29.7961463928223
571956521.739131,-27.0244827270508
573478260.869565,-32.119441986084
575000000,-28.3950157165527
576521739.130435,-33.052562713623
578043478.26087,-28.2647018432617
579565217.391304,-31.1430702209473
581086956.521739,-29.3450469970703
582608695.652174,-32.8982734680176
584130434.782609,-32.3539390563965
585652173.913044,-32.6167793273926
587173913.043478,-27.8839721679688
588695652.173913,-45.1020393371582
590217391.304348,-32.8812446594238
591739130.434783,-33.1614799499512
593260869.565217,-32.8744316101074
594782608.695652,-27.334587097168
596304347.826087,-36.1316795349121
597826086.956522,-23.4861221313477
599347826.086957,-24.9229583740234
600869565.217391,-24.246940612793
602391304.347826,-26.5081672668457
603913043.478261,-32.2443428039551
605434782.608696,-28.7953567504883
606956521.739131,-25.7885093688965
608478260.869565,-27.9945640563965
610000000,-39.5469932556152
611521739.130435,-32.6267356872559
613043478.26087,-28.6480369567871
614565217.391304,-29.7952346801758
616086956.521739,-27.3609848022461
617608695.652174,-32.2136878967285
619130434.782609,-28.6344108581543
620652173.913044,-26.6027526855469
622173913.043478,-28.8901634216309
623695652.173913,-34.9295921325684
625217391.304348,-31.8772850036621
626739130.434783,-30.9242973327637
628260869.565217,-24.8582382202148
629782608.695652,-29.2360382080078
631304347.826087,-30.3693351745605
632826086.956522,-28.0607070922852
634347826.086957,-27.4324264526367
635869565.217391,-28.3003196716309
637391304.347826,-29.5977439880371
638913043.478261,-31.0673713684082
640434782.608696,-26.8007164001465
641956521.739131,-28.2866859436035
643478260.869565,-26.6201820373535
645000000,-30.027515411377
646521739.130435,-31.4013328552246
648043478.26087,-31.457836151123
649565217.391304,-25.4488639831543
651086956.521739,-30.0138893127441
652608695.652174,-35.7060966491699
654130434.782609,-27.1649436950684
655652173.913044,-27.3097038269043
657173913.043478,-30.8561744689941
658695652.173913,-35.6924781799316
660217391.304348,-30.4108695983887
661739130.434783,-27.5231628417969
663260869.565217,-34.6646614074707
664782608.695652,-34.7489891052246
666304347.826087,-26.5690879821777
667826086.956522,-33.210147857666
669347826.086957,-30.0241050720215
670869565.217391,-33.0567359924316
672391304.347826,-27.7325134277344
673913043.478261,-24.5898056030273
675434782.608696,-31.5787467956543
676956521.739131,-36.5831260681152
678478260.869565,-35.846736907959
680000000,-29.5996894836426
681521739.130435,-24.5180587768555
683043478.26087,-29.3515853881836
684565217.391304,-28.9755363464355
686086956.521739,-38.9349174499512
687608695.652174,-33.0192604064941
689130434.782609,-24.9200401306152
690652173.913044,-28.0126342773438
692173913.043478,-27.5708541870117
693695652.173913,-26.2785415649414
695217391.304348,-31.9286842346191
696739130.434783,-29.3009338378906
698260869.565217,-36.6824378967285
699782608.695652,-42.2250556945801
701304347.826087,-29.0859756469727
702826086.956522,-25.3654136657715
704347826.086957,-43.3587074279785
705869565.217391,-28.8323593139648
707391304.347826,-29.3442153930664
708913043.478261,-26.8575401306152
710434782.608696,-31.4319496154785
711956521.739131,-27.1956634521484
713478260.869565,-26.5964469909668
715000000,-29.2809715270996
716521739.130435,-28.6117515563965
718043478.26087,-28.0722579956055
719565217.391304,-27.2265777587891
721086956.521739,-26.1912956237793
722608695.652174,-31.4814109802246
724130434.782609,-32.1753273010254
725652173.913044,-32.3126106262207
727173913.043478,-28.7859802246094
728695652.173913,-30.9249229431152
730217391.304348,-31.5726509094238
731739130.434783,-29.8303260803223
733260869.565218,-36.9360160827637
734782608.695652,-32.0894508361816
736304347.826087,-25.5616607666016
737826086.956522,-31.6643028259277
739347826.086957,-33.1994209289551
740869565.217391,-25.982120513916
742391304.347826,-28.9362144470215
743913043.478261,-25.7449684143066
745434782.608696,-27.5937919616699
746956521.739131,-30.2457008361816
748478260.869565,-27.9948577880859
750000000,-36.2529258728027
