GPS Location:,Unlocked
336086956.521739,-35.0022964477539
337608695.652174,-29.664041519165
339130434.782609,-35.3364181518555
340652173.913044,-28.8950939178467
342173913.043478,-29.059118270874
343695652.173913,-30.3580646514893
345217391.304348,-29.13108253479
346739130.434783,-36.4394149780273
348260869.565217,-31.2365627288818
349782608.695652,-32.2346267700195
351304347.826087,-30.2201633453369
352826086.956522,-33.6477584838867
354347826.086957,-29.2180309295654
355869565.217391,-28.7771663665771
357391304.347826,-30.2900714874268
358913043.478261,-36.3789749145508
360434782.608696,-31.2885646820068
361956521.73913,-28.6210613250732
363478260.869565,-26.1617259979248
365000000,-37.7813110351563
366521739.130435,-25.8380336761475
368043478.26087,-30.755895614624
369565217.391304,-32.2627563476563
371086956.521739,-28.9155712127686
372608695.652174,-30.8950786590576
374130434.782609,-26.7609958648682
375652173.913044,-34.6363830566406
377173913.043478,-31.6108837127686
378695652.173913,-30.6497325897217
380217391.304348,-29.4062976837158
381739130.434783,-31.2395687103271
383260869.565217,-32.5188980102539
384782608.695652,-30.2045726776123
386304347.826087,-26.802755355835
387826086.956522,-32.0457534790039
389347826.086957,-31.6698436737061
390869565.217391,-29.4460697174072
392391304.347826,-29.073694229126
393913043.478261,-26.428918838501
395434782.608696,-34.0486907958984
396956521.73913,-29.8945255279541
398478260.869565,-27.914400100708
400000000,-36.8069686889648
401521739.130435,-28.8954181671143
403043478.26087,-29.6696605682373
404565217.391304,-32.0900497436523
406086956.521739,-29.7611064910889
407608695.652174,-30.6855373382568
409130434.782609,-32.484001159668
410652173.913044,-32.4851608276367
412173913.043478,-34.6692123413086
413695652.173913,-32.4211730957031
415217391.304348,-32.488655090332
416739130.434783,-29.8671360015869
418260869.565217,-28.5893306732178
419782608.695652,-31.6673259735107
421304347.826087,-24.6349353790283
422826086.956522,-25.3955402374268
424347826.086957,-24.8554401397705
425869565.217391,-28.7235240936279
427391304.347826,-32.1714019775391
428913043.478261,-31.6743144989014
430434782.608696,-24.8050403594971
431956521.73913,-29.0800647735596
433478260.869565,-26.3009014129639
435000000,-24.8360233306885
436521739.130435,-25.8585262298584
438043478.26087,-35.4955139160156
439565217.391304,-26.7742824554443
441086956.521739,-34.1925048828125
442608695.652174,-31.3873119354248
444130434.782609,-32.1842269897461
445652173.913044,-30.2921657562256
447173913.043478,-26.8839282989502
448695652.173913,-32.1877212524414
450217391.304348,-30.718168258667
451739130.434783,-29.5089054107666
453260869.565217,-31.8764724731445
454782608.695652,-30.56081199646
456304347.826087,-28.4086437225342
457826086.956522,-28.1243343353271
459347826.086957,-31.6373043060303
460869565.217391,-28.6219615936279
462391304.347826,-25.1083812713623
463913043.478261,-28.4977931976318
465434782.608696,-32.729118347168
466956521.73913,-26.5243320465088
468478260.869565,-30.4133586883545
470000000,-27.0417881011963
471521739.130435,-22.5777187347412
473043478.26087,-27.2953815460205
474565217.391304,-33.0835952758789
476086956.521739,-36.2081527709961
477608695.652174,-31.3558101654053
479130434.782609,-30.4738521575928
480652173.913044,-27.8654193878174
482173913.043478,-28.7236347198486
483695652.173913,-23.36110496521
485217391.304348,-26.843713760376
486739130.434783,-38.5308151245117
488260869.565217,-29.6792659759521
489782608.695652,-27.1279888153076
491304347.826087,-32.5469284057617
492826086.956522,-27.1660594940186
494347826.086957,-26.6459178924561
495869565.217391,-25.750509262085
497391304.347826,-29.8310298919678
498913043.478261,-29.2215900421143
500434782.608696,-34.7368011474609
501956521.73913,-29.5945682525635
503478260.869565,-35.1779022216797
505000000,-31.7933197021484
506521739.130435,-32.4922637939453
508043478.26087,-30.601598739624
509565217.391304,-33.927619934082
511086956.521739,-31.2660274505615
512608695.652174,-38.9578475952148
514130434.782609,-29.9417209625244
515652173.913044,-33.6261367797852
517173913.043478,-29.2355670928955
518695652.173913,-25.8290462493896
520217391.304348,-31.0466594696045
521739130.434783,-32.7722396850586
523260869.565217,-32.8418045043945
524782608.695652,-27.9381694793701
526304347.826087,-37.2126998901367
527826086.956522,-29.5202236175537
529347826.086957,-30.6179103851318
530869565.217391,-31.6920757293701
532391304.347826,-28.2620487213135
533913043.478261,-32.646369934082
535434782.608696,-30.1069393157959
536956521.739131,-34.0268478393555
538478260.869565,-27.2010250091553
540000000,-33.0630874633789
541521739.130435,-27.3478183746338
543043478.26087,-31.9452285766602
544565217.391304,-31.0653057098389
546086956.521739,-27.83815574646
547608695.652174,-29.8209590911865
549130434.782609,-33.4290466308594
550652173.913044,-27.0682430267334
552173913.043478,-27.9982776641846
553695652.173913,-33.5803909301758
555217391.304348,-26.4595623016357
556739130.434783,-24.2160320281982
558260869.565217,-27.73268699646
559782608.695652,-28.2830219268799
561304347.826087,-30.912145614624
562826086.956522,-31.8974456787109
564347826.086957,-31.1869869232178
565869565.217391,-37.0083618164063
567391304.347826,-32.7242813110352
568913043.478261,-32.5867309570313
570434782.608696,-30.4152355194092
571956521.739131,-35.2920608520508
573478260.869565,-29.9047527313232
575000000,-27.5195789337158
576521739.130435,-26.4333934783936
578043478.26087,-29.7489604949951
579565217.391304,-32.1090393066406
581086956.521739,-35.8352279663086
582608695.652174,-26.7204647064209
584130434.782609,-31.6076183319092
585652173.913044,-26.2181224822998
587173913.043478,-36.3209228515625
588695652.173913,-26.9132480621338
590217391.304348,-28.9839992523193
591739130.434783,-34.979118347168
593260869.565217,-24.3565158843994
594782608.695652,-24.9440250396729
596304347.826087,-31.7613296508789
597826086.956522,-33.214485168457
599347826.086957,-32.6527481079102
600869565.217391,-25.445707321167
602391304.347826,-30.0380077362061
603913043.478261,-28.5221920013428
605434782.608696,-25.1740093231201
606956521.739131,-27.789457321167
608478260.869565,-30.0243816375732
610000000,-32.9736328125
611521739.130435,-40.2364807128906
613043478.26087,-27.2140522003174
614565217.391304,-34.249755859375
616086956.521739,-29.6158123016357
617608695.652174,-33.2425765991211
619130434.782609,-24.3506984710693
620652173.913044,-34.7398071289063
622173913.043478,-32.1409378051758
623695652.173913,-29.5035877227783
625217391.304348,-31.6358699798584
626739130.434783,-28.7706356048584
628260869.565217,-34.5516128540039
629782608.695652,-22.6243114471436
631304347.826087,-30.5958232879639
632826086.956522,-29.0222568511963
634347826.086957,-30.9178524017334
635869565.217391,-26.3005504608154
637391304.347826,-34.1986618041992
638913043.478261,-30.4189281463623
640434782.608696,-29.5613079071045
641956521.739131,-26.3528423309326
643478260.869565,-29.9962482452393
645000000,-33.7831268310547
646521739.130435,-25.2847194671631
648043478.26087,-37.3960647583008
649565217.391304,-27.6554698944092
651086956.521739,-28.5011348724365
652608695.652174,-29.6303005218506
654130434.782609,-30.7625713348389
655652173.913044,-28.7059230804443
657173913.043478,-32.1917495727539
658695652.173913,-30.5345134735107
660217391.304348,-32.3160400390625
661739130.434783,-31.0257472991943
663260869.565217,-25.916898727417
664782608.695652,-28.0557880401611
666304347.826087,-29.9956493377686
667826086.956522,-34.2124786376953
669347826.086957,-26.4249095916748
670869565.217391,-26.5911617279053
672391304.347826,-30.3439846038818
673913043.478261,-25.13596534729
675434782.608696,-30.5509929656982
676956521.739131,-29.4318332672119
678478260.869565,-27.7070827484131
680000000,-34.9597244262695
681521739.130435,-34.8667755126953
683043478.26087,-32.3980712890625
684565217.391304,-32.1957397460938
686086956.521739,-33.7694091796875
687608695.652174,-31.9305877685547
689130434.782609,-32.0553970336914
690652173.913044,-33.9982681274414
692173913.043478,-25.9796810150146
693695652.173913,-32.2493896484375
695217391.304348,-30.2058010101318
696739130.434783,-27.5006504058838
698260869.565217,-32.8837356567383
699782608.695652,-29.523099899292
701304347.826087,-29.4335651397705
702826086.956522,-28.7097949981689
704347826.086957,-37.2280654907227
705869565.217391,-28.5918712615967
707391304.347826,-26.7074031829834
708913043.478261,-24.0219211578369
710434782.608696,-25.3142223358154
711956521.739131,-29.33522605896
713478260.869565,-31.4510326385498
715000000,-36.5985488891602
716521739.130435,-41.9508743286133
718043478.26087,-35.593864440918
719565217.391304,-30.0477352142334
721086956.521739,-35.3229675292969
722608695.652174,-30.8550930023193
724130434.782609,-32.7097702026367
725652173.913044,-36.8603591918945
727173913.043478,-29.8784008026123
728695652.173913,-30.4997692108154
730217391.304348,-24.7141208648682
731739130.434783,-29.7012004852295
733260869.565218,-30.6791744232178
734782608.695652,-36.4657821655273
736304347.826087,-28.4606761932373
737826086.956522,-28.3010196685791
739347826.086957,-27.1550579071045
740869565.217391,-29.4527111053467
742391304.347826,-33.0630493164063
743913043.478261,-33.3575897216797
745434782.608696,-23.2997989654541
746956521.739131,-29.292142868042
748478260.869565,-28.4268245697021
750000000,-26.8459339141846
